jahr;geschlecht;altersklasse;disziplin;leistung;wind;name;geburtsjahr;verein;datum;ort
2017;W;Frauen;100 m;10,95;+1,3;Gina Lueckenkemper;1996;LG Olympia Dortmund;05.08.; London/GBR
2017;W;Frauen;100 m;11,06;+1,8;Rebekka Haase;1993;LV 90 Erzgebirge;25.05.; Zeulenroda
2017;W;Frauen;100 m;11,14;-0,2;Lisa Mayer;1996;Sprintteam Wetzlar;27.08.; Berlin
2017;W;Frauen;100 m;11,24;+0,3;Tatjana Pinto;1992;LC Paderborn;15.07.; Ninove/BEL
2017;W;Frauen;100 m;11,25;+1,9;Sina Mayer;1995;LAZ Zweibruecken;11.06.; Regensburg
2017;W;Frauen;100 m;11,29;+1,9;Jennifer Montag;1998;TSV Bayer 04 Leverkusen;11.06.; Regensburg
2017;W;Frauen;100 m;11,29;+1,9;Lara Matheis;1992;TSG Giessen-Wieseck;11.06.; Regensburg
2017;W;Frauen;100 m;11,33;+1,7;Keshia Kwadwo;1999;TV Wattenscheid 01;04.08.; Ulm
2017;W;Frauen;100 m;11,36;+0,4;Laura Mueller;1995;LC Rehlingen;27.05.; Weinheim
2017;W;Frauen;100 m;11,41;+1,8;Lisa Nippgen;1997;LAZ Ludwigsburg;01.07.; Mannheim
2017;W;Frauen;100 m;11,42;-0,7;Alexandra Burghardt;1994;MTG Mannheim;08.07.; Erfurt
2017;W;Frauen;100 m;11,44;+1,9;Lisa Marie Kwayie;1996;Neukoellner SF;11.06.; Regensburg
2017;W;Frauen;100 m;11,46;+0,8;Katrin Fehm;1998;ESV Amberg;27.05.; Weinheim
2017;W;Frauen;100 m;11,46;-0,4;Nadine Gonska;1990;MTG Mannheim;27.05.; Weinheim
2017;W;Frauen;100 m;11,47;+0,5;Yasmin Kwadwo;1990;MTG Mannheim;18.07.; Bellinzona/SUI
2017;W;Frauen;100 m;11,51;+0,9;Joefina Elsler;1991;LC Paderborn;27.05.; Weinheim
2017;W;Frauen;100 m;11,60;+1,6;Anna-Lena Freese;1994;FTSV Jahn Brinkum;29.07.; Rhede
2017;W;Frauen;100 m;11,61;+1,8;Chantal Butzek;1997;LC Paderborn;01.07.; Mannheim
2017;W;Frauen;100 m;11,63;+1,8;Jessica Bianca Wessolly;1996;MTG Mannheim;01.07.; Mannheim
2017;W;Frauen;100 m;11,64;+0,9;Lisa Gruenert;1998;LV 90 Erzgebirge;01.07.; Mannheim
2017;W;Frauen;100 m;11,67;+1,8;Lara Huemke;1999;LTV Bad Duerkheim;01.07.; Mannheim
2017;W;Frauen;100 m;11,70;+1,9;Alena Kaltenmaier;1994;SG Walldorf Astoria;24.06.; Mannheim
2017;W;Frauen;100 m;11,73;+1,8;Constanze Dietzsch;1997;TSV Zeulenroda;25.05.; Zeulenroda
2017;W;Frauen;100 m;11,73;+0,2;Svea Kittner;1993;SV Werder Bremen;10.06.; Goettingen
2017;W;Frauen;100 m;11,75;+1,7;Katrin Wallmann;1998;MTG Mannheim;04.08.; Ulm
2017;W;Frauen;100 m;11,76;-0,3;Jessica Roos;1994;LG Rhein/Wied;25.05.; Trier
2017;W;Frauen;100 m;11,76;+1,7;Talea Prepens;2001;TV Cloppenburg;05.08.; Ulm
2017;W;Frauen;100 m;11,77;+0,9;Nina Braun;1997;LG Olympia Dortmund;27.05.; Weinheim
2017;W;Frauen;100 m;11,79;+1,1;Beauty Somuah;2001;ASV Koeln;24.06.; Schweinfurt
2017;W;Frauen;100 m;11,79;+1,4;Celina Leffler;1996;SSC Koblenz-Karthause;01.07.; Wetzlar
2017;W;Frauen;100 m;11,84;+1,0;Meike Gerlach;1998;TV Gladbeck;03.06.; Gladbeck
2017;W;Frauen;100 m;11,87;-0,3;Johanna Bechthold;1997;LG Olympia Dortmund;22.07.; Koeln
2017;W;Frauen;100 m;11,89;+0,3;Denise Uphoff;2000;TSV Gomaringen;24.06.; Schweinfurt
2017;W;Frauen;100 m;11,89;+1,9;Olivia Tzschach;2000;TV Eppingen;01.07.; Wetzlar
2017;W;Frauen;100 m;11,90;+0,4;Michelle Janiak;1998;VfL Eintracht Hannover;13.05.; Hannover
2017;W;Frauen;100 m;11,90;+1,9;Julia Hofer;1996;1.FC Passau;11.06.; Regensburg
2017;W;Frauen;100 m;11,90;+1,7;Kathrin Grenda;1999;TuS Joellenbeck;04.08.; Ulm
2017;W;Frauen;100 m;11,90;+1,0;Amelie Dierke;2000;Werdener TB;05.08.; Ulm
2017;W;Frauen;100 m;11,91;+0,7;Celina Kraenzle;1997;MTG Mannheim;20.05.; Ellwangen
2017;W;Frauen;100 m;11,92;+1,5;Serena Stenger;2000;SCC Berlin;15.07.; Hamburg
2017;W;Frauen;100 m;11,93;+0,6;Chiara Schimpf;2000;Dresdner SC 1898;25.05.; Zeulenroda
