jahr;geschlecht;altersklasse;disziplin;leistung;wind;name;geburtsjahr;verein;datum;ort
2024;W;Frauen;100 m;10,93;+1,0;Gina Lueckenkemper;1996;SCC Berlin;01.09.2024;Berlin-Charlottenburg
2024;W;Frauen;100 m;11,26;+1,9;Sophia Junk;1999;LG Rhein-Wied;20.05.2024;Mannheim
2024;W;Frauen;100 m;11,26;+0,2;Alexandra Burghardt;1994;LG Gendorf Wacker Burghausen;29.06.2024;Braunschweig
2024;W;Frauen;100 m;11,26;+0,2;Lisa Marie Kwayie;1996;Neukoellner SF;29.06.2024;Braunschweig
2024;W;Frauen;100 m;11,31;+0,6;Jennifer Montag;1998;TSV Bayer 04 Leverkusen;08.06.2024;Rom (ITA)
2024;W;Frauen;100 m;11,35;+0,2;Sina Kammerschmitt;2003;MTG Mannheim;29.06.2024;Braunschweig
2024;W;Frauen;100 m;11,36;+1,9;Jessica-Bianca Wessolly;1996;VfL Sindelfingen;14.07.2024;La Chaux-de-Fonds (SUI)
2024;W;Frauen;100 m;11,37;+0,2;Malin Stavenow;2001;Eintracht Frankfurt;29.06.2024;Braunschweig
2024;W;Frauen;100 m;11,37;+1,5;Nele Jaworski;2004;VfL Wolfsburg;06.07.2024;Moenchengladbach
2024;W;Frauen;100 m;11,37;+1,5;Chelsea Kadiri;2005;Sportclub Magdeburg;06.07.2024;Moenchengladbach
2024;W;Frauen;100 m;11,38;+1,4;Talea Prepens;2001;TV Cloppenburg;18.05.2024;Wetzlar
2024;W;Frauen;100 m;11,40;+1,2;Lisa Nippgen;1997;MTG Mannheim;27.07.2024;Muenchen
2024;W;Frauen;100 m;11,43;-0,9;Jolina Ernst;2004;TV Wattenscheid 01;14.07.2024;Rhede
2024;W;Frauen;100 m;11,43;+1,2;Svenja Pfetsch;2001;LG Stadtwerke Muenchen;27.07.2024;Muenchen
2024;W;Frauen;100 m;11,49;-1,5;Skadi Schier;2000;SCC Berlin;06.02.2024;Potchefstroom (RSA)
2024;W;Frauen;100 m;11,49;+1,0;Sherin Kimuanga;2006;SC DHfK Leipzig;22.06.2024;Mannheim
2024;W;Frauen;100 m;11,52;+0,2;Lilly Kaden;2001;LG Olympia Dortmund;24.05.2024;Dessau-Rosslau
2024;W;Frauen;100 m;11,53;+1,3;Louise Wieland;2000;Hamburger SV;25.05.2024;Leverkusen
2024;W;Frauen;100 m;11,53;+0,2;Annika Just;2005;LAC Passau;25.05.2024;Regensburg
2024;W;Frauen;100 m;11,54;+0,6;Tiffany Eidner;1997;Cologne Athletics;12.05.2024;Graz (AUT)
2024;W;Frauen;100 m;11,56;+0,8;Lena Anochili;2007;Hamburger SV;06.07.2024;Moenchengladbach
2024;W;Frauen;100 m;11,57;+0,4;Tatjana Pinto;1992;TV Wattenscheid 01;29.06.2024;Braunschweig
2024;W;Frauen;100 m;11,58;-0,1;Amelie Dierke;2000;TSV Bayer 04 Leverkusen;09.05.2024;Koeln
2024;W;Frauen;100 m;11,58;+1,5;Viola John;2003;LG Stadtwerke Muenchen;06.07.2024;Moenchengladbach
2024;W;Frauen;100 m;11,60;-0,1;Malaika Mihambo;1994;LG Kurpfalz;19.05.2024;Rehlingen
2024;W;Frauen;100 m;11,61;+1,3;Yasmin Kwadwo-Buehner;1990;LC Paderborn;25.05.2024;Leverkusen
2024;W;Frauen;100 m;11,62;+0,2;Charlotte Riedel;2005;SC DHfK Leipzig;25.05.2024;Regensburg
2024;W;Frauen;100 m;11,62;+1,1;Amelie-Sophie Lederer;1994;LG Stadtwerke Muenchen;14.07.2024;La Chaux-de-Fonds (SUI)
2024;W;Frauen;100 m;11,62;+0,7;Alisha Zwergel;2001;Eintracht Frankfurt;21.07.2024;Schifflange (LUX)
2024;W;Frauen;100 m;11,64;+0,1;Tina Benzinger;2001;LG Stadtwerke Muenchen;13.07.2024;Erding
2024;W;Frauen;100 m;11,66;+1,1;Pernilla Kramer;1996;VfL Wolfsburg;08.06.2024;Falkensee
2024;W;Frauen;100 m;11,66;+0,8;Line Schroeder;2004;Hamburger SV;20.07.2024;Breda (NED)
2024;W;Frauen;100 m;11,67;+0,2;Hannah Kaczmarek;2008;SV Halle;25.05.2024;Regensburg
2024;W;Frauen;100 m;11,67;+0,1;Rosina Schneider;2004;TV Sulz;15.06.2024;Walldorf
2024;W;Frauen;100 m;11,68;-0,6;Philina Schwartz;2006;SC Berlin;17.08.2024;Sondershausen
2024;W;Frauen;100 m;11,72;+0,8;Johanna Marie Bechthold;1997;TV Wattenscheid 01;01.06.2024;Koeln
2024;W;Frauen;100 m;11,72;+2,0;Tabea Christ;1998;LG Brillux Muenster;14.07.2024;Rhede
2024;W;Frauen;100 m;11,74;+1,3;Keshia Beverly Kwadwo;1999;LC Paderborn;18.05.2024;Gladbeck
2024;W;Frauen;100 m;11,75;+0,8;Anne Boecker;2007;TSV Bayer o4 Leverkusen;06.07.2024;Moenchengladbach
2024;W;Frauen;100 m;11,75;+0,1;Jana Lakner;2000;LG TELIS FINANZ Regensburg;13.07.2024;Erding
2024;W;Frauen;100 m;11,76;+0,9;Cora Kunze;2004;Dresdner SC 1898;06.07.2024;Moenchengladbach
2024;W;Frauen;100 m;11,76;+1,0;Veronika Miller;2003;LG Region Landshut;13.07.2024;Erding
2024;W;Frauen;100 m;11,76;+0,3;Karen Rueckert;1999;LT DSHS Koeln;14.07.2024;Rhede
2024;W;Frauen;100 m;11,77;+0,5;Celina Kraenzle;1997;SC Voehringen;29.06.2024;Braunschweig
2024;W;Frauen;200 m;22,50;+1,0;Jessica-Bianca Wessolly;1996;VfL Sindelfingen;14.07.2024;La Chaux-de-Fonds (SUI)
2024;W;Frauen;200 m;22,83;-0,1;Talea Prepens;2001;TV Cloppenburg;10.06.2024;Rom (ITA)
2024;W;Frauen;200 m;23,18;+1,6;Gina Lueckenkemper;1996;SCC Berlin;20.04.2024;Clermont FL (USA)
2024;W;Frauen;200 m;23,18;+1,7;Lisa Marie Kwayie;1996;Neukoellner SF;09.06.2024;Falkensee
2024;W;Frauen;200 m;23,29;-0,4;Svenja Pfetsch;2001;LG Stadtwerke Muenchen;14.07.2024;Erding
2024;W;Frauen;200 m;23,30;0,0;Skadi Schier;2000;SCC Berlin;30.01.2024;Potchefstroom (RSA)
2024;W;Frauen;200 m;23,30;+1,2;Nele Jaworski;2004;VfL Wolfsburg;07.07.2024;Moenchengladbach
2024;W;Frauen;200 m;23,36;+0,4;Lisa Nippgen;1997;MTG Mannheim;27.07.2024;Muenchen
2024;W;Frauen;200 m;23,39;+0,7;Sophie Weissenberg;1997;TSV Bayer 04 Leverkusen;18.05.2024;Goetzis (AUT)
2024;W;Frauen;200 m;23,51;+1,7;Pernilla Kramer;1996;VfL Wolfsburg;09.06.2024;Falkensee
2024;W;Frauen;200 m;23,61;+1,2;Jolina Ernst;2004;TV Wattenscheid 01;07.07.2024;Moenchengladbach
2024;W;Frauen;200 m;23,68;+1,2;Judith Bilepo Mokobe;2006;USC Mainz;07.07.2024;Moenchengladbach
2024;W;Frauen;200 m;23,73;-0,4;Louise Wieland;2000;Hamburger SV;30.06.2024;Braunschweig
2024;W;Frauen;200 m;23,76;-1,0;Viola John;2003;LG Stadtwerke Muenchen;21.07.2024;Muenchen
